customer_zip_code_prefix,customer_city,customer_state,geolocation_lat,geolocation_lng,customer_count
22790,rio de janeiro,RJ,-23.01298650422646,-43.46551954103294,142
24220,niteroi,RJ,-22.90324481661885,-43.107023598220486,124
22793,rio de janeiro,RJ,-23.00061899109568,-43.40471828456725,121
24230,niteroi,RJ,-22.878636914963273,-43.08609614601055,117
22775,rio de janeiro,RJ,-22.969148201152674,-43.383065237968154,110
29101,vila velha,ES,-20.345030195796227,-40.28790374199653,101
13212,jundiai,SP,-23.176397106134754,-46.97415662176983,95
35162,ipatinga,MG,-19.468786725450673,-42.56389478130509,93
22631,rio de janeiro,RJ,-23.00365666838398,-43.34075885321385,89
38400,uberlandia,MG,-18.913247873843886,-48.27821224449974,87
35500,divinopolis,MG,-20.140359687801332,-44.884079632219006,86
36570,vicosa,MG,-20.754734638539293,-42.87751998529491,84
37200,lavras,MG,-21.244708636505745,-44.999201639430474,83
13214,jundiai,SP,-23.157994972014635,-46.91819985268586,82
11030,santos,SP,-23.984858304705913,-46.30206995146367,81
11740,itanhaem,SP,-24.18271029899566,-46.801838599988436,80
11065,santos,SP,-23.96522724354383,-46.343581343498315,80
28970,araruama,RJ,-22.86965694518422,-42.321414936246086,77
13087,campinas,SP,-22.85798998347003,-47.05305088047734,76
11680,ubatuba,SP,-23.452929299956928,-45.093219408528476,76
7600,mairipora,SP,-23.329721686232084,-46.59712215964799,75
20540,rio de janeiro,RJ,-22.92255591041081,-43.243901231317686,74
20541,rio de janeiro,RJ,-22.92275898098941,-43.246104027508025,74
36400,conselheiro lafaiete,MG,-20.655803964613018,-43.77785932514872,73
29102,vila velha,ES,-20.371280369661118,-40.30721837760808,73
24210,niteroi,RJ,-22.9006237676799,-43.127072924198885,72
20550,rio de janeiro,RJ,-22.916792143186886,-43.2315503991291,72
39400,montes claros,MG,-16.721976101453777,-43.86291363894473,71
22795,rio de janeiro,RJ,-23.020470737334893,-43.46265642068304,71
35700,sete lagoas,MG,-19.45799501338864,-44.24812822762972,71
11075,santos,SP,-23.95460047631287,-46.3377311534732,70
38408,uberlandia,MG,-18.924080198164358,-48.249267186591496,68
13060,campinas,SP,-22.931980169327545,-47.11184149169854,68
22753,rio de janeiro,RJ,-22.96619236089961,-43.330734513875434,67
37701,pocos de caldas,MG,-21.789131323861138,-46.56757074031744,67
30140,belo horizonte,MG,-19.93104856825172,-43.93603257269495,66
88330,balneario camboriu,SC,-26.992704286772554,-48.63215150489717,65
30130,belo horizonte,MG,-19.93185558700408,-43.932647431010295,65
36900,manhuacu,MG,-20.25268829369247,-42.040598534498436,65
20520,rio de janeiro,RJ,-22.926258825257275,-43.231846424609145,65
13070,campinas,SP,-22.89205755456594,-47.08244278411783,63
38600,paracatu,MG,-17.2241790239998,-46.874264632410174,63
35900,itabira,MG,-19.63079871695884,-43.222253680108224,63
13050,campinas,SP,-22.94038299392597,-47.09526288732753,63
22250,rio de janeiro,RJ,-22.942211644081578,-43.17758693818259,61
24240,niteroi,RJ,-22.897237232548903,-43.09915756428693,60
21321,rio de janeiro,RJ,-22.89512617328995,-43.357502145957,60
